company,quarter,revenue,operating_income,net_income,employees,region
TechCorp Inc,Q1 2023,1250000000,350000000,280000000,12000,North America
TechCorp Inc,Q2 2023,1300000000,370000000,295000000,12500,North America
TechCorp Inc,Q3 2023,1350000000,380000000,305000000,13000,North America
TechCorp Inc,Q4 2023,1400000000,400000000,320000000,13500,North America
DataSystems Ltd,Q1 2023,480000000,95000000,72000000,5000,North America
DataSystems Ltd,Q2 2023,510000000,102000000,78000000,5200,North America
DataSystems Ltd,Q3 2023,520000000,98000000,74000000,5100,North America
DataSystems Ltd,Q4 2023,490000000,85000000,65000000,4900,North America
CloudNet Corp,Q1 2023,1100000000,280000000,220000000,10000,North America
CloudNet Corp,Q2 2023,1150000000,295000000,235000000,10200,North America
CloudNet Corp,Q3 2023,1180000000,305000000,245000000,10500,North America
CloudNet Corp,Q4 2023,1220000000,320000000,258000000,10800,North America
SecureNet Inc,Q1 2023,190000000,45000000,35000000,2000,North America
SecureNet Inc,Q2 2023,200000000,48000000,38000000,2100,North America
SecureNet Inc,Q3 2023,210000000,52000000,42000000,2200,North America
SecureNet Inc,Q4 2023,220000000,55000000,45000000,2300,North America
